#t,ms p
5.12512 6.642675629077514168e+04
5.12798 6.641792825623515819e+04
5.13027 6.641866078180578188e+04
5.13255 6.642495218050295080e+04
5.13542 6.643908949631599535e+04
5.13771 6.645442334863293217e+04
5.14001 6.647245744935423136e+04
5.14287 6.649714306696012500e+04
5.14516 6.651713415488300961e+04
5.14802 6.654122349279762420e+04
5.1503 6.655928552731158561e+04
5.15259 6.657566328627702023e+04
5.15546 6.659335541137904511e+04
5.15776 6.660506023664318491e+04
5.16005 6.661437602470410638e+04
5.16291 6.662185658547354979e+04
5.1652 6.662376012577871734e+04
5.16806 6.662009612357072183e+04
5.17035 6.661179567105218302e+04
5.17264 6.659821991371389595e+04
5.1755 6.657342552807596803e+04
5.17779 6.654729282589163631e+04
5.18008 6.651573354858043604e+04
5.18294 6.646920057828379504e+04
5.18522 6.642710357259953162e+04
5.18751 6.638144276835980418e+04
5.19038 6.632049567010262399e+04
5.19267 6.626977232834191818e+04
5.19554 6.620527198057803616e+04
5.19783 6.615382554446766153e+04
5.20012 6.610356511281587882e+04
5.20298 6.604386730023764540e+04
5.20526 6.599985164198302664e+04
5.20755 6.596020806644686672e+04
5.21041 6.591802883926140203e+04
5.21271 6.589066577646898804e+04
5.215 6.586933076511649415e+04
5.21787 6.585034789289312903e+04
5.22016 6.584024530781080830e+04
5.22302 6.583259718867830816e+04
5.22531 6.582937681019028241e+04
5.2276 6.582846422152305604e+04
5.23048 6.583045065704121953e+04
5.23279 6.583437916739721550e+04
5.23508 6.584035688152755029e+04
5.23795 6.585034948272551992e+04
5.24024 6.585964209122321336e+04
5.24252 6.586925458965121652e+04
5.24539 6.588020096924241807e+04
5.24768 6.588654579757079773e+04
5.25055 6.588932238533078635e+04
5.25284 6.588632407869270537e+04
5.25513 6.587866849369189003e+04
5.25799 6.586314930424522026e+04
5.26028 6.584640107589916443e+04
5.26257 6.582571105734875891e+04
5.26544 6.579438600420630246e+04
5.26773 6.576461610283069604e+04
5.27003 6.573052638293092605e+04
5.27289 6.568187592033877445e+04
5.27518 6.563878967388827004e+04
5.27804 6.558047317055506574e+04
5.28033 6.553089129757238697e+04
5.28262 6.547934957832725922e+04
5.28549 6.541307377761348471e+04
5.28778 6.535939537945057236e+04
5.29008 6.530608380058106559e+04
5.29294 6.524147403663139994e+04
5.29523 6.519227616791396576e+04
5.29752 6.514620498803376540e+04
5.30038 6.509391223539560451e+04
5.30268 6.505687058839435485e+04
5.30554 6.501617226128164475e+04
5.30784 6.498761442555044778e+04
5.31013 6.496184422177702800e+04
5.313 6.493349684555186832e+04
5.31529 6.491413345189271786e+04
5.31758 6.489782244529552554e+04
5.32044 6.488220424998699309e+04
5.32274 6.487383175427321839e+04
5.32504 6.486914506303727831e+04
5.32793 6.486820603943899914e+04
5.33024 6.487069045523821842e+04
5.33254 6.487520140551277291e+04
5.33542 6.488206708098693343e+04
5.33771 6.488723208248727315e+04
5.34 6.489081343064715475e+04
5.34287 6.489110002102622093e+04
5.34516 6.488682576448519831e+04
5.34803 6.487457943956777308e+04
5.35032 6.485883666131383507e+04
5.35261 6.483781991216145252e+04
5.35548 6.480464358757592709e+04
5.35776 6.477339891502411047e+04
5.36006 6.473898697014549543e+04
5.36293 6.469224470747300802e+04
5.36523 6.465220997782922495e+04
5.36754 6.460970904450920352e+04
5.37043 6.455337410027662554e+04
5.37272 6.450619693055863172e+04
5.37502 6.445733973107308702e+04
5.37788 6.439460808525817993e+04
5.38017 6.434356450205075089e+04
5.38303 6.427934982957710599e+04
5.38533 6.422848588593776367e+04
5.38763 6.417893449932186923e+04
5.39049 6.411986893076078559e+04
5.39278 6.407548408434161684e+04
5.39507 6.403378349486974912e+04
5.39794 6.398542405102394696e+04
5.40023 6.394933149676634639e+04
5.40254 6.391564907321736246e+04
5.40541 6.387737456266614754e+04
5.40772 6.385011090270218847e+04
5.41002 6.382629003492916672e+04
5.41289 6.380193403271746502e+04
5.41518 6.378701442181821039e+04
5.41804 6.377409731913109135e+04
5.42033 6.376795957687759073e+04
5.42263 6.376506193124021956e+04
5.4255 6.376497863828745176e+04
5.42779 6.376694262484952924e+04
5.43011 6.377000006434373790e+04
5.433 6.377415921221710596e+04
5.43531 6.377675308466685965e+04
5.43762 6.377774644445995364e+04
5.4405 6.377534460404683341e+04
5.44281 6.376947362134407012e+04
5.44511 6.375932231127021078e+04
5.44798 6.373997243135925964e+04
5.45028 6.371892430136543408e+04
5.45257 6.369306571510039794e+04
5.45544 6.365464335908531211e+04
5.45773 6.361997748260781373e+04
5.46003 6.358281952973291482e+04
5.46289 6.353368550847503502e+04
5.46519 6.349255599140798586e+04
5.46806 6.343927463854603411e+04
5.47037 6.339516950485074631e+04
5.47267 6.335017410266433581e+04
5.47555 6.329334357729566545e+04
5.47786 6.324800279520431650e+04
5.48017 6.320330056612712360e+04
5.48304 6.314901299868154456e+04
5.48534 6.310732624621598370e+04
5.48764 6.306756570238499990e+04
5.49051 6.302048590919410344e+04
5.4928 6.298490101890431833e+04
5.4951 6.295110092272111069e+04
5.49796 6.291164305762049480e+04
5.50026 6.288255619652404130e+04
5.50255 6.285589232967922726e+04
5.50542 6.282644995576591464e+04
5.50771 6.280638201770556770e+04
5.51002 6.278966227350720146e+04
5.5129 6.277369654483761406e+04
5.51521 6.276479105638264446e+04
5.51753 6.275916970636348560e+04
5.52042 6.275638139773326839e+04
5.52272 6.275706632274466392e+04
5.52503 6.275987780163023126e+04
5.5279 6.276567651263738662e+04
5.53019 6.277146162713265949e+04
5.53306 6.277911599566617951e+04
5.53535 6.278469187516470265e+04
5.53765 6.278888458705539233e+04
5.54053 6.279099636481944617e+04
5.54283 6.278913960032822797e+04
5.54513 6.278330412939207599e+04
5.54801 6.276960705317218526e+04
5.55033 6.275327658548489126e+04
5.55264 6.273228500408275431e+04
5.55554 6.270042849359630054e+04
5.55786 6.267142723700010538e+04
5.56018 6.264028079167938995e+04
5.56307 6.259911367084644735e+04
5.56538 6.256482102349823253e+04
5.56769 6.252962582090422075e+04
5.57057 6.248459738318438031e+04
5.57287 6.244804879501662072e+04
5.57517 6.241148705415506265e+04
5.57804 6.236631935603917373e+04
5.58034 6.233105098735053616e+04
5.58263 6.229685064369104657e+04
5.58551 6.225588307983370032e+04
5.58782 6.222483497980820539e+04
5.59012 6.219528631677364319e+04
5.59302 6.216052366037202592e+04
5.59534 6.213441447510303260e+04
5.59766 6.210985216614920500e+04
5.60056 6.208160589069912385e+04
5.60287 6.206122089974401752e+04
5.60518 6.204293633635045990e+04
5.60807 6.202342508792837907e+04
5.61037 6.201071429875515605e+04
5.61268 6.200079285461290419e+04
5.61555 6.199242742364536389e+04
5.61785 6.198891143494801508e+04
5.62015 6.198813962871329568e+04
5.62302 6.199085503548785346e+04
5.62532 6.199574880289065186e+04
5.62762 6.200278890993993991e+04
5.63049 6.201413976064225426e+04
5.63279 6.202477342693381070e+04
5.63509 6.203629637031053426e+04
5.63797 6.205119108920287545e+04
5.64027 6.206257171767255204e+04
5.64258 6.207258721217662242e+04
5.64546 6.208184553326632886e+04
5.64777 6.208569933165845578e+04
5.65008 6.208572787101139693e+04
5.65296 6.207996279179543490e+04
5.65527 6.207070123906247318e+04
5.65759 6.205764230812442111e+04
5.66047 6.203700565503908729e+04
5.66277 6.201789125065960980e+04
5.66507 6.199717272712333215e+04
5.66794 6.196942748305822897e+04
5.67024 6.194603761175182444e+04
5.67254 6.192162805475957430e+04
