#t,ms massf-Ar
3.43796 9.944187926254796084e-01
3.4402 9.944104378179801085e-01
3.443 9.943999915907538734e-01
3.44524 9.943916358723352555e-01
3.44804 9.943811924063310492e-01
3.45028 9.943728335810203545e-01
3.45252 9.943644736102279502e-01
3.45532 9.943540179909486909e-01
3.45756 9.943456366022139781e-01
3.46037 9.943351558954517388e-01
3.46261 9.943267572442388014e-01
3.46542 9.943162534581371226e-01
3.46767 9.943078663276738727e-01
3.47047 9.942974088171390168e-01
3.47271 9.942890521472088627e-01
3.47551 9.942786233687583852e-01
3.47775 9.942702927275974822e-01
3.48056 9.942598631920998020e-01
3.4828 9.942515321785289073e-01
3.48505 9.942432167591631620e-01
3.48785 9.942328412588039566e-01
3.4901 9.942245588709105464e-01
3.4929 9.942142298384641919e-01
3.49514 9.942059817958642798e-01
3.49795 9.941956948814046902e-01
3.50019 9.941874810737512114e-01
3.50299 9.941772278877453184e-01
3.50523 9.941690430144272117e-01
3.50805 9.941588029727889131e-01
3.5103 9.941506235830624982e-01
3.51255 9.941424801113333265e-01
3.51535 9.941323549697932416e-01
3.5176 9.941242810901258498e-01
3.5204 9.941142251605225022e-01
3.52264 9.941062090236210125e-01
3.52546 9.940961731420555614e-01
3.52771 9.940881726448884681e-01
3.53052 9.940782410714024131e-01
3.53277 9.940703327960502822e-01
3.53501 9.940624468840340011e-01
3.53782 9.940526199724405432e-01
3.54007 9.940447878184573982e-01
3.54287 9.940350413543495023e-01
3.54512 9.940272716127174224e-01
3.54792 9.940175863851811178e-01
3.55017 9.940098666992999155e-01
3.55298 9.940002327790802283e-01
3.55524 9.939925513094313159e-01
3.55805 9.939830125291089225e-01
3.56029 9.939754296238286768e-01
3.56253 9.939678746518535446e-01
3.56535 9.939584588260375053e-01
3.5676 9.939509692256197626e-01
3.57041 9.939416572209274214e-01
3.57266 9.939342527863490595e-01
3.57547 9.939250695846134631e-01
3.57771 9.939177720177903019e-01
3.58053 9.939086754149344394e-01
3.58279 9.939014241553847384e-01
3.58505 9.938942223771830564e-01
3.58785 9.938853215618709269e-01
3.5901 9.938782470112891287e-01
3.59291 9.938694385534788678e-01
3.59517 9.938624368713055990e-01
3.59798 9.938537480295276394e-01
3.60023 9.938468457319954430e-01
3.60304 9.938382873511556470e-01
3.60528 9.938314958996649073e-01
3.60753 9.938247465473248887e-01
3.61034 9.938163585557862056e-01
3.6126 9.938096985603135369e-01
3.6154 9.938014518586799628e-01
3.61765 9.937949017146938679e-01
3.62046 9.937867622501665998e-01
3.62271 9.937802908599114859e-01
3.62552 9.937722497972781843e-01
3.62777 9.937658534414802736e-01
3.63002 9.937594896283404866e-01
3.63283 9.937515830378261805e-01
3.63507 9.937452903188391806e-01
3.63789 9.937374417244106972e-01
3.64014 9.937311952940144355e-01
3.64296 9.937234477730026994e-01
3.6452 9.937172893231966952e-01
3.64802 9.937096141583017239e-01
3.65028 9.937034959719009963e-01
3.65254 9.936974136145811931e-01
3.65535 9.936898768978777996e-01
3.6576 9.936838755388855970e-01
3.66042 9.936763792309294407e-01
3.66267 9.936704011451790164e-01
3.66549 9.936629623512007736e-01
3.66774 9.936570276157494774e-01
3.67056 9.936496110717046859e-01
3.67281 9.936436789444320627e-01
3.67507 9.936377548280072025e-01
3.67788 9.936303689250918225e-01
3.68014 9.936244640291707064e-01
3.68296 9.936170638441731429e-01
3.68522 9.936111456714907808e-01
3.68804 9.936037692051947756e-01
3.69029 9.935978762806422226e-01
3.69254 9.935919813797663425e-01
3.69537 9.935846113648129085e-01
3.69762 9.935787262536803777e-01
3.70044 9.935713927746484542e-01
3.70269 9.935655340991131901e-01
3.70551 9.935582096522409534e-01
3.70777 9.935523518339036686e-01
3.71002 9.935464921614928224e-01
3.71284 9.935391626390066566e-01
3.7151 9.935332963779895943e-01
3.71792 9.935259600116789214e-01
3.72017 9.935200810092866819e-01
3.723 9.935127051791652342e-01
3.72526 9.935067987008521229e-01
3.72751 9.935009102808245451e-01
3.73033 9.934935447800824493e-01
3.73259 9.934876281952162991e-01
3.73542 9.934802164154079573e-01
3.73767 9.934742977184757295e-01
3.74049 9.934669203517184632e-01
3.74274 9.934610126673744102e-01
3.74501 9.934550744146253276e-01
3.74785 9.934476599806014718e-01
3.7501 9.934417689417469610e-01
3.75292 9.934344095494633819e-01
3.75518 9.934285097889775651e-01
3.758 9.934211208874826893e-01
3.76026 9.934152041256028021e-01
3.76251 9.934092822695828051e-01
3.76533 9.934018637027249854e-01
3.76758 9.933959177370283999e-01
3.7704 9.933884690069245682e-01
3.77266 9.933824876282429939e-01
3.77548 9.933749969086724807e-01
3.77773 9.933690026503356751e-01
3.78055 9.933615026543475279e-01
3.78281 9.933554795106831481e-01
3.78508 9.933494300501050089e-01
3.7879 9.933418604098697147e-01
3.79016 9.933358230005414624e-01
3.79297 9.933282732093223766e-01
3.79523 9.933222262046444984e-01
3.79805 9.933146894033070273e-01
3.80031 9.933086879501625832e-01
3.80257 9.933027081463486896e-01
3.80539 9.932952492726848659e-01
3.80765 9.932892837759893512e-01
3.81047 9.932818235406724039e-01
3.81273 9.932758462885648010e-01
3.81555 9.932683623006998141e-01
3.81781 9.932623799942378318e-01
3.82006 9.932563888773507932e-01
3.82288 9.932488838091834138e-01
3.82514 9.932428716317950323e-01
3.82796 9.932353484807050492e-01
3.83022 9.932293208822013941e-01
3.83305 9.932217902582231028e-01
3.8353 9.932157748915233508e-01
3.83756 9.932097496403424763e-01
3.84038 9.932021985149350751e-01
3.84263 9.931961327706907428e-01
3.84546 9.931885115773445571e-01
3.84772 9.931824057279886597e-01
3.85054 9.931748108704867573e-01
3.8528 9.931687915134012057e-01
3.85506 9.931628356044449601e-01
3.85789 9.931554799748343321e-01
3.86014 9.931496312320532427e-01
3.86297 9.931423051794884271e-01
3.86524 9.931364243849702955e-01
3.86806 9.931290622345833041e-01
3.87032 9.931231629139117834e-01
3.87258 9.931172487287235340e-01
3.8754 9.931098371250282053e-01
3.87766 9.931038972157747446e-01
3.88049 9.930964333226469654e-01
3.88276 9.930904612888629135e-01
3.88502 9.930845122640006295e-01
3.88784 9.930770950625823490e-01
3.8901 9.930711688731749254e-01
3.89292 9.930637635985070100e-01
3.89518 9.930578234153051298e-01
3.89801 9.930503363788668603e-01
3.90028 9.930443133620119323e-01
3.90254 9.930382824768110295e-01
3.90537 9.930307527799623335e-01
3.90763 9.930247909907582438e-01
3.91045 9.930174987867852465e-01
3.91271 9.930117734355528025e-01
3.91555 9.930047075360455278e-01
3.91782 9.929991033626629493e-01
3.92009 9.929934910396980285e-01
3.92294 9.929864383364200853e-01
3.92519 9.929808026432381807e-01
3.92801 9.929737350014073982e-01
3.93028 9.929680497015338503e-01
3.93255 9.929623466057277970e-01
3.9354 9.929551877734497101e-01
3.93768 9.929494289247680072e-01
3.94054 9.929422541713852635e-01
3.9428 9.929365915543241217e-01
3.94506 9.929309468182936360e-01
3.94789 9.929239027320609923e-01
3.95015 9.929182763737434136e-01
3.95299 9.929112215995654633e-01
3.95527 9.929055464268243814e-01
3.95754 9.928998425118744642e-01
3.96037 9.928926940685253166e-01
3.96263 9.928869484833138248e-01
3.96546 9.928797939918391213e-01
3.96772 9.928741884128452488e-01
3.97055 9.928673708182306212e-01
3.97282 9.928620701766266432e-01
3.97509 9.928568861751113639e-01
3.97793 9.928504549236251142e-01
3.9802 9.928452924465132057e-01
3.98302 9.928388391175040351e-01
3.98528 9.928336654919008852e-01
3.98755 9.928284919680538945e-01
3.99038 9.928219617422741061e-01
3.99265 9.928166907129268859e-01
3.99549 9.928100891917203130e-01
3.99776 9.928048213712229453e-01
4.00002 9.927995822486793687e-01
4.00284 9.927930660202820556e-01
4.00511 9.927878834068156744e-01
4.00793 9.927814394451094371e-01
4.0102 9.927762936150421602e-01
4.01303 9.927698620633319537e-01
4.0153 9.927647079229560134e-01
4.01756 9.927595246762700443e-01
4.02039 9.927529775963211955e-01
4.02266 9.927476904107283007e-01
4.02548 9.927410553098051649e-01
4.02775 9.927357683732309646e-01
4.03001 9.927305740303741244e-01
4.03285 9.927242956663375750e-01
4.03512 9.927194491717892255e-01
4.03795 9.927136045990340163e-01
4.04021 9.927090459880943962e-01
4.04304 9.927033440808716858e-01
4.04531 9.926987539334370947e-01
4.04758 9.926941382609247855e-01
4.05041 9.926883438244326063e-01
4.05267 9.926836880891654058e-01
4.0555 9.926779078882496110e-01
4.05776 9.926732665502298047e-01
4.06003 9.926685998521417309e-01
4.06286 9.926627751381632558e-01
4.06512 9.926581330021104765e-01
4.06795 9.926523676083004455e-01
4.07022 9.926477941335323241e-01
4.07306 9.926421209780692534e-01
4.07532 9.926376101183199685e-01
4.07759 9.926331162187017609e-01
4.08042 9.926274880995584748e-01
4.08268 9.926229410804566777e-01
4.08552 9.926171821771008208e-01
4.08779 9.926125318909204687e-01
4.09005 9.926078752595504096e-01
4.09288 9.926020875096713825e-01
4.09515 9.925975370818798105e-01
4.09798 9.925920699766077604e-01
4.10025 9.925878776038519202e-01
4.10251 9.925838298653153480e-01
4.10535 9.925789323906614170e-01
4.10762 9.925750603845914233e-01
4.11046 9.925702292747394795e-01
4.11273 9.925663730219747016e-01
4.11556 9.925615401999892118e-01
4.11783 9.925576612928380671e-01
4.12009 9.925537724033833831e-01
4.12293 9.925489217098998340e-01
4.12519 9.925450978785350653e-01
4.12803 9.925403168766928630e-01
4.13029 9.925364506131081344e-01
4.13256 9.925325727736705739e-01
4.1354 9.925277511926861029e-01
4.13768 9.925239384568828038e-01
4.14051 9.925192414810389829e-01
4.14278 9.925155249274314473e-01
4.14505 9.925118222482961494e-01
4.14789 9.925071884104096354e-01
4.15017 9.925034707685328472e-01
4.153 9.924988104603391648e-01
4.15526 9.924950677153658862e-01
4.15754 9.924913177704346445e-01
4.16038 9.924866539406230759e-01
4.16264 9.924829802404782075e-01
4.16548 9.924785622809467744e-01
4.16774 9.924751755728459246e-01
4.17002 9.924719111390908344e-01
4.17286 9.924680014146125551e-01
4.17513 9.924649850868475509e-01
4.17798 9.924612615285981487e-01
4.18024 9.924583124125073708e-01
4.18251 9.924553745791324655e-01
4.18535 9.924516953220596793e-01
4.18762 9.924487324809683209e-01
4.19046 9.924450124167417675e-01
4.19273 9.924420389294421607e-01
4.19556 9.924383644233383261e-01
4.19784 9.924354781897409827e-01
4.20011 9.924326202864599544e-01
4.20295 9.924290118545838757e-01
4.20522 9.924261000559588819e-01
4.20805 9.924224775023078315e-01
4.21032 9.924196447735419424e-01
4.21259 9.924168549637247816e-01
4.21543 9.924134033410231259e-01
4.21771 9.924106575436743016e-01
4.22054 9.924072347201178257e-01
4.22281 9.924044922513904909e-01
4.22508 9.924017448312103529e-01
4.22792 9.923983216775822402e-01
4.23019 9.923956114014546026e-01
4.23302 9.923923323735265312e-01
4.23529 9.923898344946451289e-01
4.23757 9.923874464283369834e-01
4.24041 9.923846236594711101e-01
4.24268 9.923824969859168510e-01
4.24552 9.923799433374810297e-01
4.24778 9.923779335319663497e-01
4.25005 9.923759391683826259e-01
4.25289 9.923734495178243575e-01
4.25516 9.923714477126927003e-01
4.258 9.923689096838784751e-01
4.26026 9.923668392186596465e-01
4.26253 9.923647505049865147e-01
4.26537 9.923621407073741629e-01
4.26765 9.923600798223883857e-01
4.27049 9.923575662892936133e-01
4.27276 9.923556185327837564e-01
4.27503 9.923537316397458286e-01
4.27787 9.923513763371851759e-01
4.28013 9.923494571826824151e-01
4.28297 9.923470541350591922e-01
4.28525 9.923452105062658957e-01
4.28751 9.923434235176141760e-01
4.29035 9.923412509024891470e-01
4.29262 9.923395295583926634e-01
4.29546 9.923373770548035155e-01
4.29773 9.923356955378390687e-01
4.3 9.923340762567843809e-01
4.30284 9.923321574908307019e-01
4.30511 9.923307195417467863e-01
4.30796 9.923290625650592611e-01
4.31023 9.923278597077759278e-01
4.31251 9.923267342305164274e-01
4.31535 9.923253780516649858e-01
4.31761 9.923243215680517260e-01
4.32045 9.923230172669411653e-01
4.32272 9.923219731458862158e-01
4.32556 9.923206383029886668e-01
4.32783 9.923195162606803787e-01
4.3301 9.923183512916249338e-01
4.33294 9.923168498951060457e-01
4.33521 9.923156291194330514e-01
4.33806 9.923141207388499474e-01
4.34033 9.923129624849824637e-01
4.34261 9.923118584186585434e-01
4.34544 9.923105604981072858e-01
4.34771 9.923095789783495935e-01
4.35055 9.923084044339174348e-01
4.35283 9.923074937312788002e-01
4.3551 9.923066040323801351e-01
4.35793 9.923055273942082977e-01
4.3602 9.923046825380724689e-01
4.36304 9.923036552469084448e-01
4.36532 9.923028722342706054e-01
4.36759 9.923021480108680237e-01
4.37043 9.923013179113924220e-01
4.37271 9.923007247341248949e-01
4.37555 9.923000593089011945e-01
4.37782 9.922995627495941884e-01
4.3801 9.922990842908016029e-01
4.38294 9.922985096404696170e-01
4.38521 9.922980671339828307e-01
4.38805 9.922975364730444170e-01
4.39032 9.922971231401630510e-01
4.39259 9.922967035390328761e-01
4.39544 9.922961270923518207e-01
4.39771 9.922956220980876374e-01
4.40055 9.922949397290526941e-01
4.40282 9.922943566561096551e-01
4.4051 9.922937467030823466e-01
4.40794 9.922929831136156897e-01
4.41022 9.922923979815170270e-01
4.41306 9.922917094191966436e-01
4.41533 9.922911973908107308e-01
4.4176 9.922907238102876004e-01
4.42045 9.922901892512776545e-01
4.42272 9.922898057558778850e-01
4.42556 9.922893750772809884e-01
4.42783 9.922890629264383699e-01
4.43011 9.922887753200620997e-01
4.43295 9.922884482086608005e-01
4.43523 9.922882109813786489e-01
4.43807 9.922879420479231438e-01
4.44034 9.922877454374849915e-01
4.44262 9.922875605272734045e-01
4.44546 9.922873501967020005e-01
4.44774 9.922872157914334190e-01
4.45001 9.922871142655235177e-01
4.45285 9.922869937500115034e-01
4.45512 9.922868739447938680e-01
4.45797 9.922867018020391505e-01
4.46025 9.922865284659461160e-01
4.46253 9.922863061705083920e-01
4.46537 9.922859586984391633e-01
4.46764 9.922856266995533359e-01
4.47048 9.922851475970597690e-01
4.47276 9.922847185746362930e-01
4.47504 9.922842583373833181e-01
4.47788 9.922836528577801962e-01
4.48015 9.922831740337787476e-01
4.48299 9.922825875677382390e-01
4.48526 9.922821302028681512e-01
4.48755 9.922816879076238328e-01
4.4904 9.922811662231747487e-01
4.49267 9.922807809156938275e-01
4.49551 9.922803376128787045e-01
4.49779 9.922800111965737191e-01
4.50007 9.922797076252725113e-01
4.50292 9.922793528293768484e-01
4.50519 9.922790818513598232e-01
4.50803 9.922787500197517430e-01
4.51031 9.922784844393279791e-01
4.51258 9.922782144451984809e-01
4.51543 9.922778648586938477e-01
4.51771 9.922775729881497808e-01
4.52056 9.922771930220994907e-01
4.52283 9.922768787558238213e-01
4.5251 9.922765574876328820e-01
4.52795 9.922761456661991497e-01
4.53023 9.922757867997881176e-01
4.53251 9.922753827863348697e-01
4.53535 9.922748058072755617e-01
4.53763 9.922743023654186922e-01
4.54047 9.922736173879310728e-01
4.54275 9.922730211244300547e-01
4.54503 9.922723807769292526e-01
4.54788 9.922715214184484323e-01
4.55015 9.922708047847081936e-01
4.55299 9.922698838113223063e-01
4.55527 9.922691272589547751e-01
4.55756 9.922683602073066877e-01
4.5604 9.922673947973971176e-01
4.56268 9.922666216082995927e-01
4.56552 9.922656595078193087e-01
4.5678 9.922648984466370115e-01
4.57007 9.922641429500953514e-01
4.57292 9.922631986988413866e-01
4.5752 9.922624434245529423e-01
4.57805 9.922614974470338467e-01
4.58033 9.922607345267319134e-01
4.58261 9.922599609656586050e-01
4.58547 9.922589743601645251e-01
4.58775 9.922581673416306369e-01
4.59002 9.922573425262887215e-01
4.59287 9.922562785718886946e-01
4.59514 9.922553975749128785e-01
4.59799 9.922542556725718610e-01
4.60027 9.922533013191600082e-01
4.60255 9.922523020119675685e-01
4.6054 9.922509863278000664e-01
4.60767 9.922498772013756962e-01
4.61052 9.922484151164207011e-01
4.61281 9.922471847144415102e-01
4.61509 9.922459090093903589e-01
4.61794 9.922442631312047290e-01
4.62022 9.922429041678937356e-01
4.62306 9.922411551356081771e-01
4.62534 9.922397196658148122e-01
4.62762 9.922382549330831525e-01
4.63047 9.922363872860420209e-01
4.63275 9.922348715488993331e-01
4.63503 9.922333473330280373e-01
4.63787 9.922314269672432019e-01
4.64015 9.922298793061955502e-01
4.64301 9.922279402991165398e-01
4.64529 9.922263835347230332e-01
4.64757 9.922248217496966172e-01
4.65042 9.922228598123697951e-01
4.6527 9.922212807892517583e-01
4.65555 9.922192900761024337e-01
4.65783 9.922176762352439283e-01
4.66012 9.922160433868773000e-01
4.66296 9.922139743678988211e-01
4.66524 9.922122891173636994e-01
4.66752 9.922105678486455860e-01
4.67037 9.922083564267779598e-01
4.67265 9.922065415382316234e-01
4.6755 9.922042146621008474e-01
4.67778 9.922023017455057214e-01
4.68006 9.922003444269182904e-01
4.68291 9.921978324889858536e-01
4.68519 9.921957658101824284e-01
4.68805 9.921931127670671202e-01
4.69034 9.921909436685731887e-01
4.69261 9.921887424666121502e-01
4.69545 9.921859386850540030e-01
4.69774 9.921836505837162701e-01
4.70002 9.921813340669517478e-01
4.70287 9.921784037129862677e-01
4.70515 9.921760316444010463e-01
4.708 9.921730385238377581e-01
4.71028 9.921706261442478914e-01
4.71256 9.921681974169506146e-01
4.71542 9.921651238179389765e-01
4.71771 9.921626514773803640e-01
4.72056 9.921595554044586596e-01
4.72284 9.921570693136915198e-01
4.72512 9.921545746133755284e-01
4.72797 9.921514417618708670e-01
4.73025 9.921489191654774276e-01
4.73253 9.921463757340374112e-01
4.73539 9.921431653838563847e-01
4.73767 9.921405770771688504e-01
4.74051 9.921372962970808063e-01
4.74279 9.921346214099081573e-01
4.74508 9.921319037591300738e-01
4.74794 9.921284478285455899e-01
4.75022 9.921256349192355550e-01
4.7525 9.921227781809438540e-01
4.75535 9.921191571871892378e-01
4.75763 9.921162142537826023e-01
4.76049 9.921124665381331198e-01
4.76278 9.921094259030365237e-01
4.76506 9.921063612683539423e-01
4.76791 9.921024976610858248e-01
4.77019 9.920993726061633211e-01
4.77304 9.920954221063783551e-01
4.77532 9.920922349260130613e-01
4.77761 9.920890230393754061e-01
4.78046 9.920849782941156825e-01
4.78274 9.920817276761142445e-01
4.78502 9.920784612864196328e-01
4.78787 9.920743493021400017e-01
4.79016 9.920710362292324280e-01
4.79302 9.920668780059883618e-01
4.7953 9.920635416756531377e-01
4.79758 9.920601935214543587e-01
4.80043 9.920559919817255601e-01
4.80272 9.920526152503342798e-01
4.80557 9.920483652022544785e-01
4.80786 9.920449400216740932e-01
4.81014 9.920414954124625595e-01
4.81299 9.920371656606143951e-01
4.81527 9.920336704504141290e-01
4.81755 9.920301396009608697e-01
4.8204 9.920256849364788021e-01
4.82269 9.920220799176668880e-01
4.82555 9.920175315744491629e-01
4.82784 9.920138707801315903e-01
4.83012 9.920101928001576752e-01
4.83297 9.920055642938502283e-01
