#t,ms p
2.58297 0.427
2.58516 0.427
2.58792 0.427
2.59014 0.427
2.59288 0.427
2.59507 0.427
2.5978 0.427
2.60054 0.427
2.60273 0.427
2.60547 0.427
2.60767 0.427
2.61042 0.427
2.61262 0.427
2.61538 0.427
2.61759 0.427
2.62033 0.427
2.62252 0.427
2.62527 0.427
2.62804 0.427
2.63024 0.427
2.63298 0.427
2.63517 0.427
2.63792 0.427
2.64013 0.427
2.64287 0.427
2.64506 0.427
2.64782 0.427
2.65003 0.427
2.65279 0.427
2.65552 0.427
2.65772 0.427
2.66046 0.427
2.66266 0.427
2.66539 0.427
2.66758 0.427
2.67032 0.427
2.6725 0.427
2.67526 0.427
2.67801 0.427
2.68021 0.427
2.68296 0.427
2.68516 0.427
2.68792 0.427
2.69013 0.427
2.69287 0.427
2.69506 0.427
2.69782 0.427
2.70003 0.427
2.70278 0.427
2.70553 0.427
2.70773 0.427
2.71048 0.427
2.7127 0.427
2.71549 0.427
2.71772 0.427
2.72047 0.427
2.72267 0.427
2.72541 0.427
2.72761 0.427
2.73035 0.427
2.73254 0.427
2.73528 0.427
2.73802 0.427
2.74021 0.427
2.74296 0.427
2.74517 0.427
2.74792 0.427
2.75013 0.427
2.75287 0.427
2.75506 0.427
2.75779 0.427
2.76052 0.427
2.76272 0.427
2.76547 0.427
2.76767 0.427
2.77042 0.427
2.77263 0.427
2.7754 0.427
2.77761 0.427
2.78038 0.427
2.78259 0.427
2.78534 0.427
2.78754 0.427
2.79029 0.427
2.79304 0.427
2.79523 0.427
2.79796 0.427
2.80014 0.427
2.80289 0.427
2.80509 0.427
2.80783 0.427
2.81002 0.427
2.81277 0.427
2.81552 0.427
2.81773 0.427
2.82049 0.427
2.8227 0.427
2.82547 0.427
2.82767 0.427
2.83041 0.427
2.8326 0.427
2.83536 0.427
2.83756 0.427
2.84032 0.427
2.84252 0.427
2.84528 0.427
2.84804 0.427
2.85024 0.427
2.853 0.427
2.85521 0.427
2.85798 0.427
2.86019 0.427
2.86295 0.427
2.86515 0.427
2.8679 0.427
2.87011 0.427
2.87286 0.427
2.87505 0.427
2.8778 0.427
2.88001 0.427
2.88277 0.427
2.88553 0.427
2.88774 0.427
2.89052 0.427
2.89274 0.427
2.89551 0.427
2.89772 0.427
2.90048 0.427
2.90268 0.427
2.90544 0.427
2.90765 0.427
2.91042 0.427
2.91264 0.427
2.91541 0.427
2.91762 0.427
2.92039 0.427
2.92261 0.427
2.92538 0.427
2.9276 0.427
2.93036 0.427
2.93257 0.427
2.93531 0.427
2.93751 0.427
2.94028 0.427
2.94305 0.427
2.94526 0.427
2.94801 0.427
2.95022 0.427
2.95299 0.427
2.95519 0.427
2.95795 0.427
2.96016 0.427
2.96293 0.427
2.96515 0.427
2.96791 0.427
2.97012 0.427
2.97288 0.427
2.97508 0.427
2.97785 0.427
2.98007 0.427
2.98285 0.427
2.98508 0.427
2.98787 0.427
2.99008 0.427
2.99285 0.427
2.99507 0.427
2.99785 0.427
3.00006 0.427
3.00281 0.427
3.00502 0.427
3.00778 0.427
3.01054 0.427
3.01275 0.427
3.01552 0.427
3.01776 0.427
3.02055 0.427
3.02277 0.427
3.02554 0.427
3.02776 0.427
3.03054 0.427
3.03276 0.427
3.03553 0.427
3.03774 0.427
3.04051 0.427
3.04272 0.427
3.04549 0.427
3.04771 0.427
3.05048 0.427
3.0527 0.427
3.05548 0.427
3.05771 0.427
3.06049 0.427
3.06271 0.427
3.06548 0.427
3.0677 0.427
3.07047 0.427
3.0727 0.427
3.07548 0.427
3.0777 0.427
3.08047 0.427
3.08269 0.427
3.08549 0.427
3.08772 0.427
3.0905 0.427
3.09272 0.427
3.09548 0.427
3.09769 0.427
3.10047 0.427
3.10269 0.427
3.10547 0.427
3.1077 0.427
3.11048 0.427
3.11269 0.427
3.11546 0.426997
3.11768 0.426993
3.12046 0.0767746
3.1227 0.0767361
3.1255 0.0767014
3.12772 0.0766644
3.13049 0.0766039
3.1327 0.0765637
3.13549 0.0765252
3.13771 0.0765024
3.14049 0.0764815
3.14272 0.0764696
3.14549 0.0764591
3.1477 0.0764533
3.15048 0.076448
3.1527 0.0764473
3.15548 0.102879
3.15771 0.0896454
3.16049 0.082062
3.16271 0.0793655
3.16549 0.0778176
3.16771 0.0772565
3.17049 0.0772983
3.17273 0.0785346
3.17552 0.0828683
3.17775 0.0894519
3.18052 0.169014
3.18274 0.42119
3.18553 1.06268
3.18776 1.86742
3.19054 3.20196
3.19277 4.56904
3.195 6.27733
3.1978 9.01429
3.20002 11.8284
3.2028 16.3204
3.20502 20.5229
3.20781 25.85
3.21003 29.8693
3.21281 34.4244
3.21503 37.6721
3.21781 41.2886
3.22004 43.8813
3.22282 46.8982
3.22505 49.2338
3.22784 52.0922
3.23007 54.3448
3.23286 57.0871
3.23509 59.1627
3.23788 61.4256
3.24011 62.7754
3.24289 63.8674
3.24512 64.6141
3.2479 65.7499
3.25014 66.8824
3.25294 68.456
3.25517 69.7145
3.25795 71.0891
3.26018 71.9176
3.26298 72.5786
3.26521 72.8077
3.268 72.773
3.27024 72.5577
3.27303 72.1357
3.27525 71.7411
3.27804 71.2612
3.28028 70.9281
3.28251 70.643
3.2853 70.3791
3.28753 70.2952
3.29031 70.4384
3.29255 70.7568
3.29533 71.3563
3.29756 71.9375
3.30036 72.6626
3.3026 73.1797
3.3054 73.6473
3.30763 73.8477
3.31042 73.864
3.31266 73.6974
3.31545 73.3208
3.31769 72.9583
3.32049 72.4658
3.32273 72.0875
3.32552 71.6998
3.32775 71.4985
3.33055 71.3857
3.33278 71.4209
3.33502 71.5856
3.33781 71.9535
3.34005 72.3221
3.34284 72.8307
3.34507 73.227
3.34786 73.627
3.3501 73.8297
3.3529 73.9162
3.35514 73.8153
3.35794 73.5612
3.36017 73.3193
3.36297 72.9647
3.3652 72.6191
3.368 72.1929
3.37024 71.9457
3.37304 71.7504
3.37527 71.6769
3.37751 71.7016
3.3803 71.8482
3.38254 72.0244
3.38534 72.3132
3.38758 72.5987
3.39038 72.9676
3.39262 73.1882
3.39541 73.2787
3.39765 73.2252
3.40045 73.0304
3.40269 72.8264
3.40548 72.5377
3.40772 72.2664
3.41052 71.8746
3.41276 71.5945
3.41501 71.3886
3.41781 71.2253
3.42005 71.166
3.42284 71.1927
3.42508 71.2708
3.42788 71.4278
3.43011 71.6176
3.43291 71.9223
3.43515 72.1319
3.43796 72.2725
3.4402 72.2703
3.443 72.154
3.44524 71.988
3.44804 71.7462
3.45028 71.5245
3.45252 71.2713
3.45532 70.9419
3.45756 70.718
3.46037 70.5054
3.46261 70.3955
3.46542 70.3495
3.46767 70.3735
3.47047 70.4569
3.47271 70.5709
3.47551 70.7837
3.47775 70.9857
3.48056 71.1865
3.4828 71.2631
3.48505 71.2572
3.48785 71.1462
3.4901 70.9859
3.4929 70.7492
3.49514 70.5359
3.49795 70.2396
3.50019 69.9925
3.50299 69.7164
3.50523 69.5382
3.50805 69.3869
3.5103 69.3361
3.51255 69.3365
3.51535 69.391
3.5176 69.475
3.5204 69.6421
3.52264 69.818
3.52546 70.0369
3.52771 70.1564
3.53052 70.2088
3.53277 70.1712
3.53501 70.0678
3.53782 69.8705
3.54007 69.6874
3.54287 69.4324
3.54512 69.2142
3.54792 68.9414
3.55017 68.739
3.55298 68.5369
3.55524 68.4406
3.55805 68.4089
3.56029 68.4375
3.56253 68.5043
3.56535 68.6368
3.5676 68.7846
3.57041 69.0125
3.57266 69.2071
3.57547 69.4073
3.57771 69.5051
3.58053 69.5317
3.58279 69.4771
3.58505 69.3596
3.58785 69.1537
3.5901 68.9618
3.59291 68.697
3.59517 68.4726
3.59798 68.1929
3.60023 67.9914
3.60304 67.7918
3.60528 67.6904
3.60753 67.6452
3.61034 67.6619
3.6126 67.724
3.6154 67.8542
3.61765 68.0046
3.62046 68.2388
3.62271 68.446
3.62552 68.6839
3.62777 68.8222
3.63002 68.8936
3.63283 68.8846
3.63507 68.8097
3.63789 68.6401
3.64014 68.4634
