#t,ms massf-Ar+
4.04758 1.553663853135557257e-03
4.05041 1.555253489678933834e-03
4.05267 1.556590271593846645e-03
4.0555 1.558337629488292355e-03
4.05776 1.559799577301346652e-03
4.06003 1.561330499603782486e-03
4.06286 1.563343384711960663e-03
4.06512 1.565038239172253116e-03
4.06795 1.567271558418559078e-03
4.07022 1.569152816420224918e-03
4.07306 1.571629148024421448e-03
4.07532 1.573713225723325469e-03
4.07759 1.575887921553043502e-03
4.08042 1.578731603890890954e-03
4.08268 1.581107367128720218e-03
4.08552 1.584226491174084038e-03
4.08779 1.586828399389610556e-03
4.09005 1.589512661634482835e-03
4.09288 1.592970462919207934e-03
4.09515 1.595781698609772137e-03
4.09798 1.599319442486738527e-03
4.10025 1.602153368409404369e-03
4.10251 1.604987279198772385e-03
4.10535 1.608536586795755036e-03
4.10762 1.611402377787656904e-03
4.11046 1.615040759210346595e-03
4.11273 1.617951200323145943e-03
4.11556 1.621545976908888480e-03
4.11783 1.624417150783236770e-03
4.12009 1.627316091595474223e-03
4.12293 1.630972349096674375e-03
4.12519 1.633918773617171454e-03
4.12803 1.637631036543915099e-03
4.13029 1.640628570426421904e-03
4.13256 1.643646339820952753e-03
4.1354 1.647457095255870207e-03
4.13768 1.650532019079238967e-03
4.14051 1.654403625773700256e-03
4.14278 1.657532931510012544e-03
4.14505 1.660700328395942147e-03
4.14789 1.664712150876072536e-03
4.15017 1.667951163012536394e-03
4.153 1.672017213292051156e-03
4.15526 1.675300249662451096e-03
4.15754 1.678632610393152903e-03
4.16038 1.682838790705146626e-03
4.16264 1.686221718146642965e-03
4.16548 1.690444590083108392e-03
4.16774 1.693794874793513004e-03
4.17002 1.697110209214144861e-03
4.17286 1.701186916971620311e-03
4.17513 1.704386835809550268e-03
4.17798 1.708305654993086701e-03
4.18024 1.711372906745282658e-03
4.18251 1.714405068688427567e-03
4.18535 1.718182005750219050e-03
4.18762 1.721175412769336208e-03
4.19046 1.724791744485588670e-03
4.19273 1.727590867163896447e-03
4.19556 1.731061447727416658e-03
4.19784 1.733830271417658320e-03
4.20011 1.736576018287351759e-03
4.20295 1.739955493451640503e-03
